        A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	
A	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
B	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
D	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
E	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
F	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
G	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
H	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
I	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
J	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
L	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
M	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0
N	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0
O	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
P	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
Q	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
R	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
